Sales_ID,Customer_ID,Product_ID,Sales_Channel,Sales_Amount,Load_DTS
0e9b3f6c-cc1c-4cf4-a09b-9aea5cc9d8e3,a32898b5-477d-4ffa-8ff6-8b052ea039e7,b44daf03-6dc6-4436-b004-f9df1c4afe36,Online,15830.39,2025-03-11 21:24:10
18741c8d-92f1-426c-b99a-f5f00242ac83,9d962bfd-565b-4d81-9373-0518e0174041,cb137e44-f6f9-4d59-b545-3ab5c9919351,Online,15320.7,2025-03-05 10:16:48
7d5f7616-5f8a-49f8-9103-cd2125aa5659,c52466da-e4a0-4010-b0e5-21cc64d60c4a,bc6d3564-01e2-46a9-b707-de8420463784,Agent,17235.61,2025-02-23 11:07:24
5b189d9f-9577-40c6-b334-0ac0c072d687,8cd07eb9-3303-4b3d-a352-6b2164431002,6a8634ee-d4c7-401e-bdb4-761fdffe6c1c,Agent,2802.4,2025-01-18 22:25:38
561e39a3-6c63-41aa-90f6-7e100112244f,09862869-e483-4c43-9203-091725ddc531,0dee7f4e-9a0b-4a84-bdc3-2f19eb92f720,Online,6829.0,2025-03-05 20:49:08
50f3ebe7-b744-4e40-b05b-0131fe5b0110,77ecf33a-936f-4865-864f-c975241a1b51,8a6e45d2-6a23-41ea-bf68-515befd68ba3,Branch,10124.38,2025-03-11 09:46:08
f6950701-a5e8-4638-b325-c06b4d941f66,1941b79d-2e59-4651-a521-1c64d06ce114,6a8634ee-d4c7-401e-bdb4-761fdffe6c1c,Branch,15274.89,2025-02-15 12:27:50
62fbf94e-6c3d-4987-b07b-ccc0ee7635f9,3fc8f473-c3ff-4cc6-ba36-3485dcf7cdc1,ac2f0bd3-4321-4428-9990-0a7050af8c1d,Branch,15992.07,2025-01-12 03:29:35
d10288c9-8b9c-4271-a4a4-6c06dc2c9231,09862869-e483-4c43-9203-091725ddc531,0f347038-60ad-432d-a52e-68f717e01701,Branch,6217.29,2025-02-05 21:57:03
7813cef4-6420-4c8c-abe5-ccb02b83b9fe,ab1a42dd-2061-4215-ac37-1ebf5ba9c227,15db4856-209e-4768-a15b-d7757bdfc401,Branch,650.06,2025-01-10 15:36:33
bc0b9939-31bf-474f-bab2-65c256b4a990,37371629-5ecd-4eca-8496-603de44ebfdd,32893134-f904-40d6-aeba-7718477b75e1,Agent,12949.61,2025-01-17 01:17:48
96737f61-ede5-4fe8-afe9-2841ff191f0e,64b19217-6c0d-40ad-9bce-b5cd05a516dc,903f1d12-f354-4a17-af2c-9d11d697e8b5,Online,14078.25,2025-03-08 21:23:21
63b8ac54-3c00-4407-91bd-3251363d40ec,86afd750-b489-4ed6-975f-7841142c2a12,6b7aa400-c428-4cd7-b675-54c27fcb9abd,Branch,639.5,2025-01-24 10:25:04
6cf50413-0c42-4ccd-83b9-25dc139b376a,e64d44ae-bf99-4f2b-8004-5e9538680442,6a8634ee-d4c7-401e-bdb4-761fdffe6c1c,Agent,8896.11,2025-02-19 20:56:58
c128d354-731f-4ff2-8317-f37c479755d1,1941b79d-2e59-4651-a521-1c64d06ce114,922bb83c-6289-4df7-ad71-4eee11cdadbe,Online,9447.5,2025-03-07 22:32:51
503fb9c5-7fa1-43bd-baa5-fd1d476a75bd,5095481c-1545-46f4-a9f9-38d4cf719d4a,76a6d314-2b36-41da-86ec-84f1bc7f3edb,Agent,5531.09,2025-02-01 07:02:51
af934d68-c818-4d5d-b554-52733f93d4f5,45c1012b-72aa-4868-8cf3-95def567c5a8,445c6620-cb6a-474a-b24d-05d91b04c57e,Branch,3316.26,2025-02-06 13:26:55
8712b59a-38a0-48c3-8035-a6381e06d251,c33a1dba-795e-4615-b8ee-05ab605c7e68,7b77e3a3-e7b5-4625-91f0-99663af51010,Branch,5333.1,2025-01-31 20:08:41
43fba1bb-c464-4fae-911d-8606b378aac9,041c334d-c333-44bd-893d-e32227d9f59f,1ef7b3f9-c50b-49c9-9525-464048428c07,Branch,17416.18,2025-03-12 20:12:34
eb458a7b-32c1-4966-acce-62ff209f1200,9dc06663-efda-4605-9f44-675a62d328bf,67e8fa4b-d088-41d3-88f1-0156ef9b5222,Branch,12146.35,2025-01-25 09:01:18
c04cd63f-522f-4f53-83df-8732c977898b,3fc8f473-c3ff-4cc6-ba36-3485dcf7cdc1,e14a8b9c-5416-4007-929d-0c2f7c70fba1,Branch,14531.21,2025-02-09 20:05:24
7c4a18d6-4921-4b2e-a57b-d9adbb825880,01851a1f-4be6-460f-a748-4d68ae9330f6,5bcd8f58-ad71-4046-836e-5a1f7f4c4e0e,Online,5293.49,2025-03-06 10:27:33
