Claim_ID,Policy_ID,Claim_Date,Claim_Amount,Claim_Status,Load_DTS
67e26764-a65c-41c1-9755-8a720d1d6714,e40a2d86-5f13-4eb5-a90c-c20f9e73a876,2024-05-12,31288.86,Rejected,2025-01-30 20:30:58
c2f1df4b-978c-4899-b9ef-290aced20425,9014ff29-8ab4-46ca-b25d-8af551199700,2023-04-08,16532.01,Open,2025-01-11 13:37:49
2593b03c-bdd4-4030-9314-361920cdeb5e,457aa6ad-9b25-47f2-bed4-4d53f89c73c9,2023-03-18,5018.31,Open,2025-02-02 21:04:39
c43b13ff-e344-4f1e-944a-5e75debc7f7a,09ca29c7-5c83-410d-b656-42d345a3c1cd,2023-02-24,28844.18,Open,2025-01-30 13:17:08
78258725-b039-42fc-b2c5-7c9aa6baeaf3,c30dfd34-45fa-4de3-ad6f-1735c4009aca,2024-10-12,42503.95,Rejected,2025-02-12 04:10:14
d65379e8-f28f-4959-b852-7ac3d4b3e4e7,fc79986e-00f0-43bd-9850-96ef67467df5,2023-10-08,47571.44,Settled,2025-02-26 02:58:20
824c513c-9e71-49e4-a20b-80a9158e2bb5,ec5288f1-3de3-4a24-a742-28cfd722d6d9,2024-12-13,35388.67,Open,2025-02-09 05:20:33
7697d783-2fa9-4df6-8cb9-237ca0067056,c30dfd34-45fa-4de3-ad6f-1735c4009aca,2022-05-18,44586.21,Rejected,2025-01-26 10:23:26
d48ed2a6-776f-4aed-8897-cba0c9936782,7e7dc09c-e93d-4d73-96b7-14757fc382ff,2023-10-21,27433.88,Settled,2025-03-07 22:48:20
12e00fe7-5d25-4135-a94a-9f41e10b07e9,44210e3c-7f29-44e1-8abc-07fe8f804195,2024-03-31,30621.4,Open,2025-02-20 02:31:44
997291ab-d643-4913-8b32-7614e63506df,f868754f-7793-4318-9919-506a06be588b,2023-08-08,37321.56,Settled,2025-01-30 20:11:43
f46649d8-257a-4bd0-9b7a-ac2e78c65315,5af835a4-e9d3-488c-9570-4cfeada8c11c,2022-07-08,4923.63,Settled,2025-01-06 03:02:43
83f43936-b44c-4d75-887d-42a3ffcd7db0,0d6b3b80-6450-49cc-a729-137008fb1fba,2024-08-23,10051.31,Settled,2025-01-18 16:08:10
710a27f6-8b06-4717-bec2-f82a1aa79e74,573ac0ac-14e2-42ed-bebc-8fc75d1aa128,2024-04-22,23601.03,Open,2025-03-02 10:29:07
c54a3752-0c2c-4ba3-abe5-14323192bf73,12957633-d875-416e-8b5b-c91229c7ab3a,2024-10-10,30934.36,Rejected,2025-02-21 02:47:54
a2addc70-7b1e-4ee6-b337-0eb22e17aaae,c2ba015c-7098-4a3c-ab19-01b566fa473d,2024-08-06,13512.19,Open,2025-02-10 17:09:00
0507cf4d-f4a5-4f3b-844e-6016581373b4,93f53840-886f-44e1-9df0-13d28a6f0614,2023-08-07,4965.24,Settled,2025-01-27 00:54:16
32a174fd-97ec-44cc-b4d9-2e1fcae97f3d,f348d492-a4b5-4b6d-abf7-72b32dbc5bc1,2022-08-15,7859.95,Rejected,2025-01-28 13:20:33
a317cf59-ef85-4533-a54e-ae59864f781c,3fa2c272-ef88-4a3d-9338-11e5230fb08e,2024-09-25,44896.61,Open,2025-01-23 15:30:01
03f9d5f4-3066-4401-9e7d-005e92b3ec80,e515c0bd-71cb-486b-8af7-0416399be994,2023-04-17,40470.4,Open,2025-03-10 11:13:46
21cace5a-46fc-4ce1-ae07-ef6293088909,fa6552ce-297e-4161-b708-3dd336c77bb9,2023-05-05,43953.94,Rejected,2025-01-30 20:35:44
9fd20e12-f07f-41de-99f6-44feaae9f6ce,a1102df0-ba81-4202-900e-87baeb352e4b,2022-05-24,45905.01,Open,2025-01-01 00:09:28
