Policy_ID,Customer_ID,Product_ID,Policy_Type,Start_Date,End_Date,Policy_Status,Load_DTS
4bf2f964-6369-4f00-8c54-8f005559f0d9,a32898b5-477d-4ffa-8ff6-8b052ea039e7,004ed3ea-767a-445a-9d50-2a6d0441af41,Individual,2024-03-11,2025-05-13,Cancelled,2025-01-28 12:34:13
b1b34969-735f-45a0-989e-28a643bdc36b,a32898b5-477d-4ffa-8ff6-8b052ea039e7,1790d745-cebd-4c5d-a7fa-046f4e0ff107,Corporate,2025-03-09,2027-08-30,Cancelled,2025-03-05 04:47:15
1ba1ddde-b50c-4e59-8713-68badc7694cf,b5b649b2-d9a6-46ac-bd1d-0848716ba9aa,b765ed26-805d-42d6-bfea-da768f736193,Individual,2021-05-20,2026-05-23,Active,2025-01-15 12:57:22
457aa6ad-9b25-47f2-bed4-4d53f89c73c9,ee84c409-0531-4182-a579-9bc6aabce161,ac2f0bd3-4321-4428-9990-0a7050af8c1d,Corporate,2021-08-12,2027-04-30,Expired,2025-02-14 06:15:30
930e2ca0-c7b4-4b37-891c-9eff6a00c0c5,2e5a9bce-0ce9-4afc-a901-fea6cabb6dd7,870a91da-7778-459b-bda8-d39c70543fa1,Family,2020-04-28,2026-02-24,Cancelled,2025-03-04 21:06:03
7f05458b-923b-4af5-a295-bbf0c4a7185e,c52466da-e4a0-4010-b0e5-21cc64d60c4a,2864197a-1989-46e3-b5c4-30706fac841a,Corporate,2022-04-20,2028-11-06,Active,2025-01-05 20:02:54
ed959e81-6a9e-4dae-97f8-2525fc672ab8,3898fa2b-9b7b-41a6-ab36-488c395230ce,fd2931e7-d8b6-4364-937f-57da286d0d80,Family,2023-02-22,2027-09-01,Cancelled,2025-01-15 16:10:35
3e19531a-5dcc-486c-b285-1519e583bb47,1941b79d-2e59-4651-a521-1c64d06ce114,e2ef7c87-5e80-4b63-b5d9-4a946a89e2a4,Family,2025-02-26,2029-09-24,Expired,2025-02-22 01:33:20
f4df3ed8-765f-41f9-b60b-ae9c3e495050,f0f8feaf-bc1a-4f1c-b524-1313e2c223aa,870a91da-7778-459b-bda8-d39c70543fa1,Corporate,2024-07-09,2029-03-28,Cancelled,2025-03-10 22:01:47
573ac0ac-14e2-42ed-bebc-8fc75d1aa128,9dc06663-efda-4605-9f44-675a62d328bf,15db4856-209e-4768-a15b-d7757bdfc401,Family,2022-03-15,2027-07-29,Active,2025-01-22 12:53:48
f868754f-7793-4318-9919-506a06be588b,0cff51d6-9241-4568-8165-7cc3e9b44f8e,3c50df2e-4b39-4ca5-88e6-0732da37efd4,Family,2023-01-27,2026-03-05,Cancelled,2025-02-02 19:17:49
e4b7adcf-5895-4be2-946a-1eb4076bf3e4,3738a368-713c-4256-96a4-f6deb98929d8,8b2faa37-1b57-4efb-9ec9-fa857eda968e,Corporate,2023-07-31,2026-03-26,Cancelled,2025-02-05 00:47:44
b5c9091e-d780-42a7-bca4-c831c80e940a,b170834f-f028-46b4-a9e5-af101ee0b81b,206b067b-8249-4f8c-b3d0-f4500d4d0e41,Individual,2023-12-06,2028-06-02,Active,2025-01-10 15:52:20
11acfc8f-4308-41f6-a5c9-4329d6449e96,0f733d40-cad2-443e-9427-dda82d821686,d486845f-60a2-477d-9a4e-fb62c9c1f3b7,Corporate,2023-01-02,2025-07-18,Expired,2025-03-07 11:09:06
0e01af92-e3e5-487e-8859-879cd85f090e,86afd750-b489-4ed6-975f-7841142c2a12,2ef1defa-1f25-4784-8f12-0d455be73dfc,Individual,2023-04-12,2029-09-15,Expired,2025-02-07 10:17:08
9f485b73-2fc8-48a3-b4fa-eddaba3d3eee,d0502b16-ab99-4c82-98c5-a53adca0094e,b85d73fb-6ced-4369-a3f5-d7f434674876,Corporate,2022-04-07,2026-12-10,Active,2025-01-14 15:06:29
fd00d45d-00ba-46e2-b4af-15ca9fbb4ad6,37371629-5ecd-4eca-8496-603de44ebfdd,d29c45ac-ae1b-4612-9d9e-a2370582cbd2,Individual,2023-10-20,2026-09-16,Expired,2025-02-20 12:24:57
6063ec69-3d56-43b2-b9cd-ca28dadce6bd,2e5a9bce-0ce9-4afc-a901-fea6cabb6dd7,9e85d084-3108-4acd-b606-921cba7d44f8,Family,2024-02-02,2029-06-11,Cancelled,2025-02-23 01:13:46
49beeed1-6e27-444e-b499-f9bbb21ea638,530f149d-70e5-47aa-83af-ef2b8cc3eeb0,fd4893a8-bf75-43e9-a52e-88b55694e22f,Family,2023-09-17,2026-12-19,Expired,2025-01-16 20:56:13
4a689698-7887-4309-899f-cfcc83950997,b951c6e0-f8ed-4c52-b3c4-6e9a22ed17e2,0f347038-60ad-432d-a52e-68f717e01701,Individual,2024-01-08,2027-03-11,Active,2025-01-07 16:35:34
9cc4167c-3602-473c-84d0-bada4ef66e2e,5924f91c-43a2-4766-9c13-6d94cb271887,b647d111-81aa-4479-af5f-d7dbb9cd4124,Corporate,2021-08-20,2029-12-30,Cancelled,2025-02-02 22:18:14
7e7dc09c-e93d-4d73-96b7-14757fc382ff,3b9f9e1d-c367-49fb-8c47-b1f3aaf5d54d,65588f74-2c4e-4c51-b782-a65e155d29bf,Corporate,2020-05-14,2027-02-23,Expired,2025-01-04 09:58:38
5cb884f8-9d94-4a28-a237-e2295a627dbb,64b19217-6c0d-40ad-9bce-b5cd05a516dc,3c50df2e-4b39-4ca5-88e6-0732da37efd4,Corporate,2022-09-23,2029-06-11,Cancelled,2025-01-02 02:49:57
a1102df0-ba81-4202-900e-87baeb352e4b,59b3381f-4d30-4ef2-b1e1-4914d504523c,0f347038-60ad-432d-a52e-68f717e01701,Family,2024-06-08,2027-07-08,Expired,2025-02-03 20:10:57
8fc67a60-f4dd-4c97-8ce2-49c4cc298117,58977fab-727f-4f1e-ac61-5dcd2f72443e,8864b036-aff0-407f-8f9c-79761c737809,Corporate,2021-05-06,2028-07-18,Expired,2025-03-04 11:24:30
1aff9d6d-952c-4cde-aaa6-5daa4f08a990,4be7d7bb-ebf1-427c-a224-7a7ed7f2aea8,0f347038-60ad-432d-a52e-68f717e01701,Individual,2022-02-23,2027-11-15,Cancelled,2025-03-11 06:24:43
0d4e9104-7bb0-42f8-882f-6b9d36c7d36e,ab1a42dd-2061-4215-ac37-1ebf5ba9c227,1898b436-bb85-406d-975d-1640aaa84d2d,Corporate,2024-11-21,2027-09-06,Active,2025-02-03 09:27:58
3fa2c272-ef88-4a3d-9338-11e5230fb08e,78efd94a-d08e-44eb-ae2a-cee8127d9104,903f1d12-f354-4a17-af2c-9d11d697e8b5,Family,2020-05-22,2026-04-01,Active,2025-01-29 18:08:16
77c9e5b4-1ea4-4cb2-ace2-04f216f0fdcf,37371629-5ecd-4eca-8496-603de44ebfdd,2d4b9e35-7807-4c20-944d-6b0e7b3f9271,Family,2021-01-24,2029-02-16,Active,2025-02-01 10:48:26
6fcd65bd-5d56-4969-b5f1-adc0f9855bae,7d8a4efa-d55d-45b0-8062-9cf3205a6876,26342e3c-0637-4fd2-a57c-27542213cf90,Family,2022-05-06,2029-03-15,Active,2025-02-18 02:36:45
